text,keywords
"magnetic resonance spectroscopic imaging (mrsi) is a powerful molecular imaging modality but has very limited speed, resolution, and snr tradeoffs. construction of a low-dimensional model to effectively reduce the dimensionality of the imaging problem has recently shown great promise in improving these tradeoffs. this paper presents a new approach to model and reconstruct the spectroscopic signals by learning a nonlinear low-dimensional representation of the general mr spectra. specifically, we trained a deep neural network to capture the low-dimensional manifold, where the high-dimensional spectroscopic signals reside. a regularization formulation is proposed to effectively integrate the learned model and physics-based data acquisition model for mrsi reconstruction with the capability to incorporate additional spatiospectral constraints. an efficient numerical algorithm was developed to solve the associated optimization problem involving back-propagating the trained network. simulation and experimental results were obtained to demonstrate the representation power of the learned model and the ability of the proposed formulation in producing snr-enhancing reconstruction from the practical mrsi data.","['constrained magnetic resonance spectroscopic imaging', 'learning nonlinear low', 'dimensional models']"
"existing deep convolutional neural networks (cnns) have found major success in image deraining, but at the expense of an enormous number of parameters. this limits their potential applications, e.g., in mobile devices. in this paper, we propose a lightweight pyramid networt (lpnet) for single-image deraining. instead of designing a complex network structure, we use domain-specific knowledge to simplify the learning process. in particular, we find that by introducing the mature gaussian-laplacian image pyramid decomposition technology to the neural network, the learning problem at each pyramid level is greatly simplified and can be handled by a relatively shallow network with few parameters. we adopt recursive and residual network structures to build the proposed lpnet, which has less than 8k parameters while still achieving the state-of-the-art performance on rain removal. we also discuss the potential value of lpnet for other low- and high-level vision tasks.","['lightweight pyramid networks', 'image deraining']"
"deep learning techniques have been increasingly used to provide more accurate and more accessible diagnosis of thorax diseases on chest radiographs. however, due to the lack of dense annotation of large-scale chest radiograph data, this computer-aided diagnosis task is intrinsically a weakly supervised learning problem and remains challenging. in this paper, we propose a novel deep convolutional neural network called thorax-net to diagnose 14 thorax diseases using chest radiography. thorax-net consists of a classification branch and an attention branch. the classification branch serves as a uniform feature extraction-classification network to free users from the troublesome hand-crafted feature extraction and classifier construction. the attention branch exploits the correlation between class labels and the locations of pathological abnormalities via analyzing the feature maps learned by the classification branch. feeding a chest radiograph to the trained thorax-net, a diagnosis is obtained by averaging and binarizing the outputs of two branches. the proposed thorax-net model has been evaluated against three state-of-the-art deep learning models using the patientwise official split of the chestx-ray14 dataset and against other five deep learning models using the imagewise random data split. our results show that thorax-net achieves an average per-class area under the receiver operating characteristic curve (auc) of 0.7876 and 0.896 in both experiments, respectively, which are higher than the auc values obtained by other deep models when they were all trained with no external data.","['attention regularized deep neural network', 'thoracic diseases', 'chest radiography', 'thorax', 'net', 'classification']"
the original article unfortunately contained a mistake. figure 2b was removed in the article.,"['carotid artery intima media thickness ultrasound images', 'deep learning', 'correction', 'classification']"
"the most common applications of artificial intelligence (ai) in drug treatment have to do with matching patients to their optimal drug or combination of drugs, predicting drug-target or drug-drug interactions, and optimizing treatment protocols. this review outlines some of the recently developed ai methods aiding the drug treatment and administration process. selection of the best drug(s) for a patient typically requires the integration of patient data, such as genetics or proteomics, with drug data, like compound chemical descriptors, to score the therapeutic efficacy of drugs. the prediction of drug interactions often relies on similarity metrics, assuming that drugs with similar structures or targets will have comparable behavior or may interfere with each other. optimizing the dosage schedule for administration of drugs is performed using mathematical models to interpret pharmacokinetic and pharmacodynamic data. the recently developed and powerful models for each of these tasks are addressed, explained, and analyzed here.","['drug treatment', 'artificial intelligence']"
"to compare detection patterns of 80 cephalometric landmarks identified by an automated identification system (ai) based on a recently proposed deep-learning method, the you-only-look-once version 3 (yolov3), with those identified by human examiners.","['part 2', 'cephalometric landmarks', 'automated identification', 'might', 'human', 'better']"
"learning the structures and unknown correlations of a motor imagery electroencephalogram (mi-eeg) signal is important for its classification. it is also a major challenge to obtain good classification accuracy from the increased number of classes and increased variability from different people. in this study, a four-class mi task is investigated.","['novel hybrid deep learning scheme', 'class motor imagery classification', 'four']"
"we present a deep reinforcement learning framework where a machine agent is trained to search for a policy to generate a ground state for the square ice model by exploring the physical environment. after training, the agent is capable of proposing a sequence of local moves to achieve the goal. analysis of the trained policy and the state value function indicates that the ice rule and loop-closing condition are learned without prior knowledge. we test the trained policy as a sampler in the markov chain monte carlo and benchmark against the baseline loop algorithm. this framework can be generalized to other models with topological constraints where generation of constraint-preserving states is difficult.","['deep reinforcement learning', 'ice states', 'generation']"
"to assess the use of deep learning (dl) for computer-assisted glaucoma identification, and the impact of training using images selected by an active learning strategy, which minimizes labelling cost. additionally, this study focuses on the explainability of the glaucoma classifier.","['convolutional neural network', 'colour fundus images', 'transfer learning', 'accurate prediction', 'relies', 'glaucoma', 'active']"
"transcription factor binding sites (tfbss) play an important role in gene expression regulation. many computational methods for tfbs prediction need sufficient labeled data. however, many transcription factors (tfs) lack labeled data in cell types. we propose a novel method, referred to as dann_tf, for tfbs prediction. dann_tf consists of a feature extractor, a label predictor, and a domain classifier. the feature extractor and the domain classifier constitute an adversarial network, which ensures that learned features are common features across different cell types. dann_tf is evaluated on five tfs in five cell types with a total of 25 cell-type tf pairs and compared to a baseline method which does not use adversarial network. for both data augmentation and cross-cell-type prediction, dann_tf performs better than the baseline method on most cell-type tf pairs. dann_tf is further evaluated by an additional 13 tfs in the five cell types with a total of 65 cell-type tf pairs. results show that dann_tf achieves significantly higher auc than the baseline method on 96.9% pairs of the 65 cell-type tf pairs. this is a strong indication that dann_tf can indeed learn common features for cross-cell-type tfbs prediction.","['integrating convolutional neural network', 'adversarial network', 'type prediction', 'binding site', 'tf', 'cross', 'cell']"
"membrane proteins, the most important drug targets, account for around 30% of total proteins encoded by the genome of living organisms. an important role of these proteins is to bind adenosine triphosphate (atp), facilitating crucial biological processes such as metabolism and cell signaling. there are several reports elucidating atp-binding sites within proteins. however, such studies on membrane proteins are limited. our prediction tool, deepatp, combines evolutionary information in the form of position specific scoring matrix and two-dimensional convolutional neural network to predict atp-binding sites in membrane proteins with an mcc of 0.89 and an auc of 99%. compared to recently published atp-binding site predictors and classifiers that use traditional machine learning algorithms, our approach performs significantly better. we suggest this method as a reliable tool for biologists for atp-binding site prediction in membrane proteins.","['dimensional convolutional neural network', 'membrane proteins using', 'binding sites', 'two', 'prediction', 'atp']"
"machine learning (ml) has become a vital part of medical imaging research. ml methods have evolved over the years from manual seeded inputs to automatic initializations. the advancements in the field of ml have led to more intelligent and self-reliant computer-aided diagnosis (cad) systems, as the learning ability of ml methods has been constantly improving. more and more automated methods are emerging with deep feature learning and representations. recent advancements of ml with deeper and extensive representation approaches, commonly known as deep learning (dl) approaches, have made a very significant impact on improving the diagnostics capabilities of the cad systems.","['diagnosis using mammographic data', 'breast cancer detection', 'systematic review']"
"in this paper, we propose a novel deep sparse coding network (scn) capable of efficiently adapting its own regularization parameters for a given application. the network is trained end-to-end with a supervised task-driven learning algorithm via error backpropagation. during training, the network learns both the dictionaries and the regularization parameters of each sparse coding layer so that the reconstructive dictionaries are smoothly transformed into increasingly discriminative representations. in addition, the adaptive regularization also offers the network more flexibility to adjust sparsity levels. furthermore, we have devised a sparse coding layer utilizing a 'skinny' dictionary. integral to computational efficiency, these skinny dictionaries compress the high dimensional sparse codes into lower dimensional structures. the adaptivity and discriminability of our fifteen-layer sparse coding network are demonstrated on five benchmark datasets, namely cifar-10, cifar-100, stl-10, svhn and mnist, most of which are considered difficult for sparse coding models. experimental results show that our architecture overwhelmingly outperforms traditional one-layer sparse coding architectures while using much fewer parameters. moreover, our multilayer architecture exploits the benefits of depth with sparse coding's characteristic ability to operate on smaller datasets. in such data-constrained scenarios, our technique demonstrates highly competitive performance compared to the deep neural networks.","['supervised deep sparse coding networks', 'image classification']"
